make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
Opel Insignia,Station wagon,37990,0,125,New,Cloth,1.956,DIESEL,24,4,21,2019.0,Grey,5.0,5,Automatic,5.7,7.2,150
Renault Clio,Compact,11000,1,55,New,"Cloth, Black",0.898,BENZINE,9,1,12,2019.0,White,5.0,5,Manual,5.1,6.4,114
Renault Espace,Van,38990,190,165,Demonstration,"Full leather, Grey",1.798,BENZINE,21,2,19,2018.0,Black,5.0,5,Automatic,7.4,9.2,168
Opel Corsa,Compact,12590,20936,66,Used,"Cloth, Black",1.398,BENZINE,15,3,14,2018.0,Silver,5.0,5,Automatic,6.6,8.2,149
Audi A3,Sedans,26500,90000,135,Used,Other,1.968,DIESEL,18,6,22,2016.0,Red,4.0,5,Semi-automatic,4.8,5.5,127
Audi A3,Sedans,19790,28095,85,Used,"Cloth, Black",0.999,BENZINE,10,2,13,2017.0,White,4.0,5,Manual,4.4,5.5,103
Opel Insignia,Sedans,13900,35638,88,Used,Other,1.598,DIESEL,19,1,69,2017.0,Grey,4.0,5,Manual,4.1,4.9,109
Audi A1,Sedans,13490,46400,70,Used,Other,0.999,BENZINE,7,2,9,2016.0,Black,4.0,4,Manual,4.2,5.0,97
Renault Clio,Station wagon,9389,52074,55,Used,"Cloth, Black",1.149,BENZINE,7,1,12,2017.0,Black,5.0,5,Manual,5.7,7.2,135
Opel Astra,Station wagon,15989,40600,110,Used,Cloth,1.399,BENZINE,17,2,14,2016.0,White,5.0,5,Automatic,5.1,6.3,121
Audi A1,Sedans,15980,11940,66,Demonstration,"Cloth, Black",1.422,DIESEL,14,1,13,2017.0,Blue,4.0,5,Manual,3.7,4.3,98
Opel Astra,Station wagon,11850,97000,100,Used,Grey,1.598,DIESEL,8,2,11,2017.0,Black,5.0,5,Automatic,3.9,4.7,104
Opel Insignia,Station wagon,22450,29920,121,Demonstration,"Part leather, Black",1.49,BENZINE,23,6,21,2018.0,Green,5.0,5,Automatic,6.2,7.6,141
Renault Clio,Transporter,7990,59171,55,Used,Other,1.461,DIESEL,7,1,11,2017.0,White,5.0,2,Manual,3.3,3.5,85
Renault Clio,Sedans,10400,14450,66,Employee's car,"Cloth, Black",0.898,BENZINE,9,1,10,2018.0,Black,4.0,5,Manual,4.7,5.7,105
Audi A1,Sedans,15784,65838,66,Used,Other,1.422,DIESEL,11,1,10,2016.0,Beige,4.0,4,Automatic,3.9,4.5,102
Opel Astra,Station wagon,18900,28563,100,Used,"Cloth, Black",1.598,DIESEL,17,5,14,2018.0,Blue,5.0,5,Automatic,4.5,5.7,119
Opel Insignia,Sedans,14990,111984,125,Used,"Cloth, Black",1.956,DIESEL,17,4,13,2016.0,White,4.0,5,Automatic,4.3,5.5,114
Audi A1,Compact,28980,0,85,New,"Cloth, Grey",0.999,BENZINE,16,2,10,2019.0,Yellow,5.0,5,Automatic,4.8,5.9,110
Opel Astra,Station wagon,10350,44320,62,Used,"Cloth, Black",1.598,BENZINE,3,1,12,2016.0,White,5.0,5,Manual,6.6,8.5,154
Audi A1,Sedans,13500,8400,60,Used,Other,0.999,BENZINE,2,1,12,2018.0,Black,4.0,4,Manual,4.2,5.0,97
Audi A3,Sedans,18500,133000,110,Used,"Cloth, Black",1.968,DIESEL,17,6,15,2017.0,Black,4.0,5,Manual,4.2,5.0,107
Audi A1,Sedans,12380,27100,70,Used,"Cloth, Black",0.999,BENZINE,4,1,8,2016.0,Black,4.0,4,Manual,4.4,5.2,104
Opel Insignia,Station wagon,23475,25470,121,Used,"Cloth, Black",1.49,BENZINE,23,4,17,2018.0,Green,5.0,5,Automatic,6.2,7.7,141
Audi A3,Sedans,21550,11679,81,Used,Other,1.598,DIESEL,9,1,11,2018.0,Blue,4.0,5,Automatic,3.8,4.3,99
Audi A3,Sedans,24900,0,85,Pre-registered,Other,1.598,DIESEL,8,1,9,2019.0,White,4.0,5,Manual,4.4,5.0,114
Audi A1,Sedans,20900,15097,70,Used,Other,0.999,BENZINE,3,1,1,2018.0,Red,4.0,4,Semi-automatic,3.9,4.5,102
Audi A3,Compact,35495,7,85,New,"Part leather, Black",0.999,BENZINE,14,3,12,2019.0,Grey,5.0,5,Semi-automatic,4.5,5.5,117
Opel Insignia,Sedans,26990,10,103,New,"Cloth, Black",1.49,BENZINE,10,3,12,2019.0,Black,4.0,5,Manual,5.7,7.2,132
Audi A1,Sedans,15000,32000,66,Used,Other,1.422,DIESEL,4,1,7,2016.0,Red,4.0,4,Semi-automatic,3.6,4.0,94
Opel Astra,Sedans,15900,26160,110,Used,Cloth,1.399,BENZINE,15,2,12,2016.0,Grey,4.0,5,Automatic,5.5,7.2,127
Renault Espace,Van,33285,16840,165,Demonstration,"Full leather, Other",1.798,BENZINE,24,2,17,2017.0,White,5.0,5,Automatic,6.8,8.7,153
Opel Astra,Sedans,22275,10,110,Pre-registered,"Cloth, Black",1.399,BENZINE,17,1,14,2019.0,Brown,4.0,5,Automatic,4.9,6.2,116
Renault Espace,Van,23490,72118,118,Used,"Full leather, Black",1.598,DIESEL,26,3,17,2016.0,Black,5.0,7,Automatic,4.7,5.1,125
Renault Espace,Van,24999,10613,118,Used,"Part leather, Black",1.598,DIESEL,21,3,14,2018.0,Beige,5.0,7,Automatic,4.6,5.0,120
Renault Clio,Sedans,14200,8500,66,Used,Other,1.461,DIESEL,5,1,10,2017.0,White,4.0,5,Automatic,3.2,3.3,82
Renault Clio,Compact,11490,1,55,Pre-registered,"Cloth, Black",0.899,BENZINE,11,3,13,2019.0,White,5.0,5,Manual,5.2,6.0,118
Renault Clio,Other,15790,25899,87,Used,"Other, Black",1.197,BENZINE,12,1,15,2018.0,Silver,4.0,5,Automatic,5.3,6.8,126
Opel Insignia,Station wagon,10490,187000,100,Used,Cloth,1.598,DIESEL,11,1,9,2016.0,Grey,5.0,5,Manual,3.9,6.5,104
Opel Insignia,Station wagon,39890,500,125,Used,"Full leather, Black",1.956,DIESEL,26,5,20,2019.0,White,5.0,5,Automatic,5.7,7.2,150
Opel Insignia,Other,18300,22158,74,Used,Other,1.598,DIESEL,19,1,69,2017.0,Silver,4.0,5,Manual,4.3,5.1,114
Audi A1,Compact,21780,6163,92,Used,"Cloth, Black",1.395,BENZINE,18,4,15,2018.0,Beige,5.0,5,Automatic,4.9,6.2,112
Renault Clio,Station wagon,11500,49000,66,Used,Other,1.461,DIESEL,5,1,7,2016.0,White,5.0,5,Semi-automatic,3.5,3.9,92
Audi A3,Sedans,20990,14450,85,Used,Cloth,1.598,DIESEL,13,1,13,2018.0,Grey,4.0,5,Manual,4.0,4.5,108
Opel Insignia,Sedans,22214,27000,100,Used,"Cloth, Black",1.598,DIESEL,17,2,15,2018.0,Silver,4.0,5,Automatic,5.1,6.1,134
Audi A1,Sedans,12960,28860,70,Used,"Cloth, Black",0.999,BENZINE,13,3,15,2016.0,Black,4.0,4,Manual,4.2,5.0,97
Opel Astra,Station wagon,14000,43344,74,Used,Other,1.598,DIESEL,2,1,8,2018.0,Black,5.0,5,Automatic,4.6,5.8,122
Audi A1,Compact,19388,10,85,New,"Cloth, Black",0.999,BENZINE,9,1,12,2019.0,Green,5.0,5,Manual,4.9,6.0,111
Audi A1,Compact,20990,0,85,New,"Cloth, Black",0.995,BENZINE,11,2,15,2019.0,White,5.0,5,Manual,4.2,6.0,111
Opel Corsa,Sedans,7896,41000,51,Used,"Cloth, Black",1.229,BENZINE,4,1,8,2016.0,White,4.0,5,Manual,5.6,7.2,129
Renault Espace,Van,35540,10,118,Demonstration,Other,1.997,DIESEL,14,2,16,2019.0,White,5.0,5,Automatic,5.1,5.7,135
Opel Insignia,Station wagon,12000,115000,100,Used,Other,1.598,DIESEL,9,2,11,2016.0,White,5.0,5,Manual,3.9,4.6,104
Opel Corsa,Compact,7190,72500,51,Used,"Cloth, Black",1.229,BENZINE,11,1,13,2017.0,White,5.0,5,Manual,5.4,6.7,128
Opel Corsa,Other,9500,7912,66,Used,Other,1.398,BENZINE,19,1,69,2018.0,Silver,4.0,5,Manual,5.2,6.9,120
Opel Corsa,Sedans,12200,18000,66,Used,"Cloth, Grey",1.398,BENZINE,4,1,10,2018.0,Silver,4.0,5,Automatic,4.7,5.8,110
Opel Insignia,Sedans,29400,70,100,Demonstration,"Cloth, Black",1.598,DIESEL,25,3,21,2019.0,Grey,4.0,5,Manual,4.8,5.0,121
Renault Clio,Sedans,10990,1,55,Pre-registered,"Cloth, Grey",0.898,BENZINE,5,1,12,2019.0,Grey,4.0,5,Manual,5.0,6.3,113
Opel Astra,Station wagon,25850,7782,110,Used,"Part leather, Black",1.398,BENZINE,22,3,15,2019.0,Black,5.0,5,Automatic,5.7,7.3,134
Renault Espace,Van,44500,10,165,Pre-registered,"Full leather, Brown",1.798,BENZINE,28,3,22,2019.0,White,5.0,5,Automatic,7.4,9.7,168
Opel Insignia,Sedans,18333,10500,100,Used,"Cloth, Black",1.598,DIESEL,15,1,12,2017.0,Blue,4.0,5,Manual,3.8,4.5,99
Opel Insignia,Station wagon,17850,29998,125,Used,"Part leather, Black",1.956,DIESEL,20,5,19,2017.0,Silver,5.0,5,Manual,5.3,6.9,139
Opel Corsa,Compact,13890,7472,66,Employee's car,"Cloth, Black",1.398,BENZINE,11,2,14,2018.0,Black,5.0,5,Automatic,6.6,8.2,150
Renault Clio,Sedans,9690,0,55,New,"Cloth, Black",0.898,BENZINE,8,1,11,2019.0,White,4.0,5,Manual,5.0,6.3,113
Opel Astra,Station wagon,13650,87000,100,Used,Other,1.598,DIESEL,6,1,9,2017.0,Black,5.0,5,Automatic,3.9,4.7,104
Renault Espace,Van,43315,0,165,New,Other,1.798,BENZINE,19,1,69,2019.0,Black,5.0,5,Automatic,6.0,8.0,153
Opel Astra,Station wagon,14650,39900,100,Used,"Cloth, Other",1.598,DIESEL,10,3,13,2017.0,Grey,5.0,5,Automatic,4.8,6.1,126
Audi A3,Sedans,21150,21459,85,Employee's car,"Part leather, Black",1.598,DIESEL,13,1,11,2018.0,Blue,4.0,5,Manual,4.1,4.6,108
Audi A3,Compact,15950,112000,135,Used,Black,1.968,DIESEL,6,1,13,2016.0,Black,5.0,5,Manual,4.2,5.2,112
Opel Insignia,Station wagon,35990,10,147,New,"Part leather, Black",1.6,BENZINE,25,8,19,2019.0,Black,5.0,5,Automatic,6.4,8.2,147
Renault Clio,Sedans,15800,132,66,Pre-registered,"Part leather, Black",1.461,DIESEL,18,3,16,2018.0,White,4.0,5,Semi-automatic,3.5,3.9,92
Audi A1,Sedans,15679,22627,85,Used,Other,1.598,DIESEL,10,2,15,2017.0,White,4.0,4,Manual,3.5,4.3,97
Opel Insignia,Station wagon,38240,10,125,New,"Cloth, Black",1.956,DIESEL,19,4,17,2019.0,Grey,5.0,5,Manual,5.6,7.3,148
